0,1,2,3,4,5,6
番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
00841,EL05239303501,冷川峠Ａ,静岡県,本田技研工業伊東研修センター,TOPCON NETG5,TRM59800.80 GSI
00842,EL05238314901,岡部Ａ,静岡県,新舟会館,TRIMBLE NETR9,TPSCR.G5 GSI
00843,EL05234600302,岡山加茂Ａ,岡山県,加茂町総合グランド駐車場,TRIMBLE ALLOY,TRM59800.80 GSI
10844,EL06140260403,青森Ａ,青森県,青森市立原別小学校,TOPCON NETG5,TRM59800.80 GSI
10845,EL05640023504,福島郡山１Ａ,福島県,郡山市立安積第二小学校,TOPCON NETG5,TRM59800.80 GSI
10846,EL05033538602,高知大川Ａ,高知県,大川村有農地,TRIMBLE ALLOY,TRM59800.80 GSI
20847,EL05237569902,水窪Ａ,静岡県,水窪高齢者交流センター,TRIMBLE NETR9,TPSCR.G5 GSI
20848,EL06841271601,稚内３,北海道,稚内市立大岬小学校,TRIMBLE ALLOY,TRM59800.80 GSI
20849,EL06741677003,稚内４,北海道,稚内市立豊別小中学校跡地,TRIMBLE ALLOY,TRM59800.80 GSI
20850,EL06742328302,中頓別,北海道,中頓別町立寿公園,TRIMBLE NETR9,TPSCR.G5 GSI
20851,EL06742209102,幌延,北海道,幌延町立問寒別小中学校,TOPCON NETG5,TPSCR.G5 GSI
20852,EL06742009302,中川,北海道,中川町立佐久小学校跡地,TRIMBLE NETR9,TRM59800.80 GSI
20853,EL06642645501,美深,北海道,美深町教職員住宅,TRIMBLE ALLOY,TRM59800.80 GSI
20854,EL06642379402,西興部,北海道,西興部村体験公園,TRIMBLE NETR9,TRM59800.80 GSI
20855,EL06641368902,羽幌２,北海道,羽幌町有地(興勢橋付近),TRIMBLE NETR9,TRM59800.80 GSI
20856,EL06643321902,紋別,北海道,紋別市立藻別小学校,TOPCON NETG5,TRM59800.80 GSI
20857,EL06642139202,士別,北海道,南郷市民プール,TRIMBLE ALLOY,TRM59800.80 GSI
20858,EL06642143801,北海道朝日,北海道,士別市営住宅,TRIMBLE ALLOY,TRM59800.80 GSI
20859,EL06644077901,斜里２,北海道,斜里町立ウトロ小中学校,TRIMBLE NETR9,TRM59800.80 GSI
20860,EL06641066802,小平２,北海道,小平町立達布小学校跡地,TOPCON NETG5,TPSCR.G5 GSI
20861,EL06543649203,生田原,北海道,遠軽町立生田原中学校,TRIMBLE ALLOY,TRM59800.80 GSI
20862,EL06542616802,旭川２,北海道,旭川市立江丹別小中学校,TRIMBLE NETR9,TRM59800.80 GSI
20863,EL06543615401,白滝,北海道,遠軽町立白滝中学校,TRIMBLE ALLOY,TRM59800.80 GSI
